央视,#genre#
WRTN经济生活帮,http://wfrtv-live-tz.wfcmw.cn/live/3jjplshb.m3u8
WRTN三农之声,http://wfrtv-live-tz.wfcmw.cn:81/live/16snzs.m3u8
WRTN生活频道,http://wfrtv-live-tz.wfcmw.cn:81/live/4erpdpzsh.m3u8
WRTN健康养生,http://wfrtv-live-tz.wfcmw.cn:81/live/9kyjs.m3u8
WRTN文旅频道,http://wfrtv-live-tz.wfcmw.cn:81/live/11sipdwhly.m3u8
WRTN青少·体育,http://wfrtv-live-tz.wfcmw.cn:81/live/8sanpdxpty.m3u8
WRTN文艺时尚,http://wfrtv-live-tz.wfcmw.cn:82/live/1wyzxyyss.m3u8
WRTN教育瞭望,http://wfrtv-live-tz.wfcmw.cn:82/live/15jylw.m3u8
WRTN纵横潍坊,http://wfrtv-live-tz.wfcmw.cn:82/live/2jtplzhwf.m3u8
WRTN音乐综合,http://wfrtv-live-tz.wfcmw.cn:82/live/5yyplyyzh.m3u8
WRTN网红直播,http://wfrtv-live-tz.wfcmw.cn:82/live/12wlpd.m3u8
WRTN公共频道,http://wfrtv-live-tz.wfcmw.cn:82/live/17ggpd.m3u8

影视,#genre#
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
欢笑剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226582/index.m3u8
都市剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226581/index.m3u8

纪实,#genre#
上海纪实,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226230/index.m3u8
金鹰纪实,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226351/index.m3u8
上海纪实,http://39.134.144.6:8089/PLTV/88888888/224/3221226499/index.m3u8

港台,#genre#
凤凰中文,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226547/index.m3u8
凤凰资讯,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226546/index.m3u8
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G.flv
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.flv
凤凰中文,rtmp://playtv-live.ifeng.com/live/06OLEGEGM4G
凤凰资讯,rtmp://playtv-live.ifeng.com/live/06OLEEWQKN4
大爱一台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱二台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
